date,ticker,decision,price,test_type
2023-03-03,AMD,hold,80.4000015258789,backtest
2023-03-03,ADP,hold,223.1199951171875,backtest
2023-03-03,LIN,hold,355.0199890136719,backtest
2023-03-03,SHW,hold,226.3300018310547,backtest
2023-03-03,APD,hold,293.0899963378906,backtest
2023-03-03,FCX,hold,43.18000030517578,backtest
2023-03-03,ECL,hold,162.82000732421875,backtest
2023-03-03,NUE,hold,177.2899932861328,backtest
2023-03-03,DOW,hold,58.560001373291016,backtest
2023-03-03,CTVA,hold,63.18000030517578,backtest
2023-03-03,DD,hold,75.37999725341797,backtest
2023-03-03,LYB,hold,97.0999984741211,backtest
2023-03-03,LMT,hold,478.8999938964844,backtest
2023-03-03,WMT,sell,141.0399932861328,backtest
2023-03-03,KO,sell,59.54999923706055,backtest
2023-03-03,PEP,sell,173.0,backtest
2023-03-03,COST,sell,474.8299865722656,backtest
2023-03-03,PM,buy,98.52999877929688,backtest
2023-03-03,MDLZ,sell,65.2699966430664,backtest
2023-03-03,MO,hold,46.400001525878906,backtest
2023-03-03,CL,hold,74.0,backtest
2023-03-03,MNST,hold,51.09999847412109,backtest
2023-03-03,XOM,hold,110.0500030517578,backtest
2023-03-03,CVX,sell,160.8699951171875,backtest
2023-03-03,COP,buy,106.2699966430664,backtest
2023-03-03,PG,sell,141.19000244140625,backtest
2023-03-03,SLB,hold,54.4900016784668,backtest
2023-03-03,RTX,buy,99.18000030517578,backtest
2023-03-03,DE,hold,422.7699890136719,backtest
2023-03-03,PLD,hold,125.9000015258789,backtest
2023-03-03,AMT,buy,199.259994506836,backtest
2023-03-03,EQIX,hold,688.3800048828125,backtest
2023-03-03,PSA,buy,303.4599914550781,backtest
2023-03-03,CCI,hold,130.33999633789062,backtest
2023-03-03,SPG,buy,123.76000213623048,backtest
2023-03-03,WELL,sell,74.86000061035156,backtest
2023-03-03,O,buy,64.38999938964844,backtest
2023-03-03,DLR,buy,103.83999633789062,backtest
2023-03-03,VICI,buy,34.0,backtest
2023-03-03,NEE,buy,72.88999938964844,backtest
2023-03-03,HON,buy,195.44000244140625,backtest
2023-03-03,SO,sell,63.66999816894531,backtest
2023-03-03,SRE,buy,74.5999984741211,backtest
2023-03-03,AEP,hold,88.08999633789062,backtest
2023-03-03,D,hold,55.119998931884766,backtest
2023-03-03,PCG,buy,15.9399995803833,backtest
2023-03-03,EXC,buy,40.4900016784668,backtest
2023-03-03,CEG,buy,76.2300033569336,backtest
2023-03-03,XEL,buy,64.63999938964844,backtest
2023-03-03,UPS,hold,186.25,backtest
2023-03-03,CAT,sell,252.38999938964844,backtest
2023-03-03,BA,hold,210.25,backtest
2023-03-03,UNP,hold,212.009994506836,backtest
2023-03-03,DUK,hold,93.95999908447266,backtest
2023-03-03,EOG,hold,119.0199966430664,backtest
2023-03-03,GE,buy,85.9000015258789,backtest
2023-03-03,OXY,sell,59.47999954223633,backtest
2023-03-03,LOW,hold,195.77999877929688,backtest
2023-03-03,BKNG,hold,2600.0,backtest
2023-03-03,SBUX,hold,103.4000015258789,backtest
2023-03-03,TJX,hold,77.06999969482422,backtest
2023-03-03,MAR,sell,171.85000610351562,backtest
2023-03-03,GOOG,buy,92.73999786376952,backtest
2023-03-03,GOOGL,buy,92.4800033569336,backtest
2023-03-03,META,hold,178.9199981689453,backtest
2023-03-03,CMCSA,hold,37.2400016784668,backtest
2023-03-03,TMUS,buy,142.27000427246094,backtest
2023-03-03,DIS,hold,99.66999816894533,backtest
2023-03-03,NKE,hold,120.12999725341795,backtest
2023-03-03,VZ,hold,38.43999862670898,backtest
2023-03-03,ATVI,hold,,backtest
2023-03-03,AAPL,hold,148.0399932861328,backtest
2023-03-03,MSFT,hold,252.19000244140625,backtest
2023-03-03,NVDA,hold,233.1999969482422,backtest
2023-03-03,AVGO,hold,617.7000122070312,backtest
2023-03-03,ORCL,hold,87.31999969482422,backtest
2023-03-03,ADBE,hold,334.69000244140625,backtest
2023-03-03,CSCO,hold,48.9900016784668,backtest
2023-03-03,CRM,hold,188.07000732421875,backtest
2023-03-03,ACN,hold,267.9100036621094,backtest
2023-03-03,MPC,sell,129.52000427246094,backtest
2023-03-03,T,buy,18.700000762939453,backtest
2023-03-03,MCD,hold,268.4200134277344,backtest
